lat,lon,shakeClass,eilClass,label,source
14.22016,121.47173,viii,low,LOW,eil-2014-kmz
14.22016,121.47212,viii,low,LOW,eil-2014-kmz
14.22016,121.47368,viii,low,LOW,eil-2014-kmz
14.22016,121.47484,viii,low,LOW,eil-2014-kmz
14.22016,121.47523,viii,low,LOW,eil-2014-kmz
14.22016,121.47562,viii,low,LOW,eil-2014-kmz
14.21977,121.47134,viii,moderate,MODERATE,eil-2014-kmz
14.21977,121.47562,viii,low,LOW,eil-2014-kmz
14.21977,121.48340,viii,low,LOW,eil-2014-kmz
14.21938,121.47134,viii,moderate,MODERATE,eil-2014-kmz
14.21899,121.47173,viii,low,LOW,eil-2014-kmz
14.21860,121.47134,viii,moderate,MODERATE,eil-2014-kmz
14.21860,121.47173,viii,low,LOW,eil-2014-kmz
14.21821,121.47134,viii,low,LOW,eil-2014-kmz
14.21821,121.47212,viii,low,LOW,eil-2014-kmz
14.21821,121.49235,viii,runout,MODERATE,eil-2014-kmz
14.21782,121.47173,viii,moderate,MODERATE,eil-2014-kmz
14.21782,121.47212,viii,low,LOW,eil-2014-kmz
14.21743,121.47134,viii,low,LOW,eil-2014-kmz
14.21743,121.47173,viii,low,LOW,eil-2014-kmz
14.21705,121.47134,viii,low,LOW,eil-2014-kmz
14.21705,121.47212,viii,low,LOW,eil-2014-kmz
14.21705,121.47251,viii,low,LOW,eil-2014-kmz
14.21705,121.47290,viii,low,LOW,eil-2014-kmz
14.21705,121.48457,viii,low,LOW,eil-2014-kmz
14.21666,121.47173,viii,moderate,MODERATE,eil-2014-kmz
14.21666,121.47212,viii,low,LOW,eil-2014-kmz
14.21666,121.47290,viii,low,LOW,eil-2014-kmz
14.21627,121.47134,viii,low,LOW,eil-2014-kmz
14.21627,121.47173,viii,low,LOW,eil-2014-kmz
14.21627,121.47251,viii,moderate,MODERATE,eil-2014-kmz
14.21627,121.47329,viii,low,LOW,eil-2014-kmz
14.21627,121.48379,viii,low,LOW,eil-2014-kmz
14.21588,121.47134,viii,low,LOW,eil-2014-kmz
14.21588,121.48496,viii,low,LOW,eil-2014-kmz
14.21549,121.47329,viii,low,LOW,eil-2014-kmz
14.21510,121.47134,viii,moderate,MODERATE,eil-2014-kmz
14.21510,121.47212,viii,moderate,MODERATE,eil-2014-kmz
14.21510,121.47251,viii,low,LOW,eil-2014-kmz
14.21510,121.47329,viii,low,LOW,eil-2014-kmz
14.21510,121.47368,viii,low,LOW,eil-2014-kmz
14.21471,121.47173,viii,low,LOW,eil-2014-kmz
14.21471,121.47212,viii,low,LOW,eil-2014-kmz
14.21471,121.47290,viii,low,LOW,eil-2014-kmz
14.21471,121.47329,viii,low,LOW,eil-2014-kmz
14.21471,121.47368,viii,low,LOW,eil-2014-kmz
14.21471,121.47873,viii,low,LOW,eil-2014-kmz
14.21471,121.47912,viii,low,LOW,eil-2014-kmz
14.21471,121.47951,viii,low,LOW,eil-2014-kmz
14.21432,121.47173,viii,low,LOW,eil-2014-kmz
14.21432,121.47251,viii,low,LOW,eil-2014-kmz
14.21432,121.47290,viii,low,LOW,eil-2014-kmz
14.21432,121.47329,viii,low,LOW,eil-2014-kmz
14.21432,121.47368,viii,low,LOW,eil-2014-kmz
